name,am_college_id,staff-directory,selector
Enterprise State Community College,30809,https://escc.prestosports.com/information/directory/index,
University of the District of Columbia,34959,https://www.udcfirebirds.com/information/directory/index,
Saint Mary's University of Minnesota,35243,https://saintmaryssports.com/staff-directory,
Trine University,35058,https://www.trinethunder.com/information/directory/index,
Drury University,31606,https://drurypanthers.com/staff-directory,
St Olaf College,32080,https://athletics.stolaf.edu/staff-directory,
Chabot College,30977,https://athletics.chabotcollege.edu/information/directory/home,
Saint Peter's University,32175,https://saintpeterspeacocks.com/staff-directory,
The College of Saint Rose,33167,https://gogoldenknights.com/staff-directory,
LaGrange College,31364,https://www.lagrangepanthers.com/information/directory/index,
Salt Lake Community College,36114,https://slccbruins.com/staff-directory,
San Diego Christian College,36116,https://www.sdcchawks.com/staff,
Olney Central College,35033,https://www.olneycentralathletics.com/athletic_dept/directory/index,
San Diego State University,32062,https://goaztecs.com/staff-directory,
La Roche University,32722,https://www.larochesports.com/information/directory/index,
Sandhills Community College,32446,https://www.sccflyers.com/information/directory/index,
Santa Clara University,34920,https://www.santaclarabroncos.com/information/directory/index,
Eastern Michigan University,31883,https://emueagles.com/staff-directory,
University of Minnesota-Rochester,36440,,
Santa Monica College,31118,https://www.smccorsairs.com/information/directory/index,
Santa Rosa Junior College,31113,http://www.srjcathletics.com/information/directory/index,
Sauk Valley Community College,31504,https://www.svcc.edu/community/athletics/about/coachdir.html,
University of Maryland-College Park,35175,https://umdbulldogs.com/staff-directory,
Schenectady County Community College,36118,https://www.njcaaregion3.org/members/schenectady/index,
Lawrence Technological University,35224,https://ltuathletics.com/staff-directory,
Schreiner University,35731,https://schreinermountaineers.com/information/directory/index,
University of the Sciences,33175,https://www.devilsathletics.com/information/directory/index,
The University of the South,32914,https://sewaneetigers.com/staff-directory,
Shelton State Community College,30839,https://athletics.sheltonstate.edu/information/directory/index,
Muskegon Community College,31916,https://www.muskegoncc.edu/athletics/athletic-directory/,
North Arkansas College,30911,http://www.northark.edu/campus-life/athletics/athletics-staff/,
Shorter University,31381,https://goshorterhawks.com/staff-directory,
Cloud County Community College,35086,https://cloudtbirds.com/staff-directory,
Orange County Community College,36085,,
University of New Mexico-Taos Campus,36511,https://golobos.com/staff-directory/,
Pennsylvania Highlands Community College,36090,,
Prince George's Community College,31789,https://www.pgccowls.com/athletics/directory/index,
Miles Community College,35342,https://www.mccpioneers.com/information/directory/index,
Rainy River Community College,36100,https://www.rainyriver.edu/faculty-staff/directory/?,
Hamilton College,32272,https://athletics.hamilton.edu/staff-directory,
Reedley College,31033,https://www.rctigers.com/information/directory/index,
Ridgewater College,31996,https://ridgewaterathletics.com/information/directory/index,
Rock Valley College,36108,https://rvcsports.com/staff-directory,
St Catherine University,32067,https://stkatesathletics.com/staff-directory,
Indian Hills Community College,31589,https://indianhillsathletics.com/information/directory/index,
Seward County Community College,31662,https://sewardsaints.com/information/directory/index,
Simmons University,31856,https://athletics.simmons.edu/information/directory/index,
Copiah-Lincoln Community College-Natchez Campus,36215,https://www.colinathletics.com/information/directory/index,
University of South Carolina-Union,36122,https://www.uscunionathletics.com/information/athdirector/index,
Onondaga Community College,35437,https://onondagalazers.com/staff-directory,
Simpson University,34922,https://simpsonredhawks.com/staff-directory,
Jefferson State Community College,34814,https://www.cannoneerathletics.com/information/directory/index,
Arkansas State University-Mountain Home,33711,https://astateredwolves.com/staff-directory,
College of the Siskiyous,31131,https://www.coseagles.com/information/directory/index,
Skyline College,31132,https://www.skylinecollegeathletics.com/general/Staff_Directory-Contact_Info,
Cerro Coso Community College,34872,https://www.cosocoyotes.com/information/directory/index,
Snead State Community College,30840,https://sneadathletics.com/information/directory/index,
Hartnell College,34888,https://hartnell.prestosports.com/inside_athletics/Staff_Directory/Staff_Directory,
South Carolina State University,32842,https://www.scsuathletics.com/staff-directory,
University of South Carolina-Lancaster,32850,https://usclathletics.com/staff-directory,
University of South Carolina-Salkehatchie,32851,https://sc.edu/about/system_and_campuses/salkehatchie/athletics/index.php,
University of Connecticut,34948,https://uconnhuskies.com/staff-directory,
Parkland College,31497,https://athletics.parkland.edu/staff-directory,
Georgia Military College - Eastman,36435,https://www.gmcbulldogs.com/information/directory/index,
South Mountain Community College,34826,https://athletics.southmountaincc.edu/information/directory/index,
South Georgia State College,36002,https://www.southgatech.edu/athletics/athletic-staff-directory/,
South Suburban College,35055,https://www.ssc.edu/athletics/inside-athletics/staff-directory/,
Northwest Mississippi Community College,35250,https://nwccrangers.com/staff-directory,
Faulkner University,30808,https://faulknereagles.com/staff-directory,
Southeast Missouri State University,35314,https://semoredhawks.com/staff-directory,
CUNY Bronx Community College,35404,https://bronxbroncos.com/staff-directory,
Murray State College,35535,https://goracers.com/staff-directory,
Southeastern Louisiana University,35119,https://lionsports.net/staff-directory,
Oak Hills Christian College,31973,https://www.oakhillssports.com/coach-directory/,
Yeshiva University,35461,https://yumacs.com/staff-directory,
College of Marin,31062,https://athletics.marin.edu/information/directory/index,
Mars Hill University,32416,https://www.marshilllions.com/athletics/directory/index,
Oakwood University,36083,https://athletics.oakwood.edu/staff-directory?path=general,
Ohio Dominican University,35520,https://www.ohiodominicanpanthers.com/information/directory/index,
University of Southern Maine,35148,https://southernmainehuskies.com/staff-directory,
Southern Maine Community College,35151,https://www.gosmccseawolves.com/information/directory/home,
Indiana University-Purdue University-Indianapolis,31764,https://iupathletics.com/staff-directory,
Lindenwood University-Belleville,36441,https://lindenwoodlions.com/staff-directory,
College of Southern Maryland,35163,https://athletics.csi.edu/staff-directory,
University of Evansville,31535,https://udspartans.com/staff-directory?path=athletic_staff,
New Hope Christian College-Eugene,35559,https://newhavenchargers.com/staff-directory,
Elms College,31689,https://athletics.elmira.edu/staff-directory,
Southern Nazarene University,32076,https://snuathletics.com/staff-directory,
Mesa Community College,30873,https://merrimackathletics.com/staff-directory,
University of Scranton,35600,https://usdtoreros.com/staff-directory,
Paul Quinn College,35733,https://pqc-edu.squarespace.com/athletics,
Le Moyne-Owen College,35685,https://lemoynedolphins.com/staff-directory,
Illinois Institute of Technology,35028,https://illinoiscollegeathletics.com/staff-directory,
Plymouth State University,35360,https://athletics.plymouth.edu/staff-directory,
Eastern Kentucky University,31665,https://ekusports.com/staff-directory,
Southern Union State Community College,36124,https://www.suscc.edu/athletics/athletic-staff.cms,
Southern University and A & M College,35120,https://gojagsports.com/staff-directory,
Prairie View A & M University,33008,https://prairiestateathletics.com/staff-directory,
Providence Christian College,34154,http://www.seabeggars.com/staff.php,
Lake Superior State University,31775,https://www.lssulakers.com/information/directory/staff,
Keuka College,32287,https://www.keukaathletics.com/information/directory/index,
Northwest Nazarene University,31402,https://nnusports.com/staff-directory,
Butler County Community College,32689,https://www.butlergrizzlies.com/information/directory/index,
Rose-Hulman Institute of Technology,32053,https://athletics.rose-hulman.edu/staff-directory,
Rust College,35253,https://www.rowanathletics.com/staff-directory,
Southwest Mississippi Community College,36126,https://southwestbearathletics.com/staff-directory,
Gordon State College,31366,https://athletics.gordon.edu/staff-directory,
Ivy Tech Community College-Central Indiana,36307,https://www.ivytech.edu/lafayette/6454.html,
Oakland Community College,31930,https://gomightyoaks.com/staff-directory,
Southwest Tennessee Community College,35702,https://athletics.southwest.tn.edu/information/directory/index,
Seminole State College of Florida,31318,https://seminolestateraiders.com/staff-directory,
Barry University,32775,https://bardathletics.com/staff-directory,
Shaw University,35487,https://sewaneetigers.com/staff-directory,
Howard Payne University,35711,https://hpusports.com/staff-directory,
Hawkeye Community College,31588,https://hpusharks.com/staff-directory,
Brevard College,32386,https://bradleybraves.com/staff-directory,
University of the Southwest,35390,https://uswathletics.com/staff-directory,
Paris Junior College,33015,https://pbasailfish.com/staff-directory,
Colorado State University-Fort Collins,31384,https://gothunderwolves.com/staff-directory,
St. Joseph's College-New York,32072,https://redstormsports.com/staff-directory,
Quinsigamond Community College,31863,https://gobobcats.com/staff-directory,
Rockland Community College,35435,https://rockhursthawks.com/staff-directory,
St. Mary's University,32073,https://smcmathletics.com/staff-directory,
Linn-Benton Community College,32643,https://golinfieldwildcats.com/staff-directory,
Malone University,32538,https://malonepioneers.com/staff-directory,
Southwestern Adventist University,33027,https://swauknights.com/information/directory/index,
